日時,時分,降水量(mm),気温(℃),風向・風速(m/s)平均,風向・風速(m/s)風向,風向・風速(m/s)最大瞬間,風向・風速(m/s)風向,日照時間(分)
2017-02-11 00:10:00,00:10,0.0,-3.9,1.6,南南西,3.4,南南西,
2017-02-11 00:20:00,00:20,0.0,-3.8,1.7,南南西,3.5,南南西,
2017-02-11 00:30:00,00:30,0.0,-3.7,1.7,南,3.2,南南西,
2017-02-11 00:40:00,00:40,0.0,-3.7,1.3,南西,2.3,南西,
2017-02-11 00:50:00,00:50,0.0,-3.9,0.6,南西,1.5,西南西,
2017-02-11 01:00:00,01:00,0.0,-4.3,1.0,南南西,2.7,南西,
2017-02-11 01:10:00,01:10,0.0,-4.2,2.0,南西,3.3,南西,
2017-02-11 01:20:00,01:20,0.0,-4.0,2.0,南西,3.7,西南西,
2017-02-11 01:30:00,01:30,0.0,-4.0,1.6,南西,2.7,南西,
2017-02-11 01:40:00,01:40,0.0,-3.7,1.7,西南西,3.0,西南西,
2017-02-11 01:50:00,01:50,0.0,-3.4,1.9,南西,3.2,西南西,
2017-02-11 02:00:00,02:00,0.5,-3.6,2.8,南西,5.0,南西,
2017-02-11 02:10:00,02:10,0.0,-3.4,3.8,南西,6.0,南南西,
2017-02-11 02:20:00,02:20,0.0,-3.4,3.4,南西,6.3,南南西,
2017-02-11 02:30:00,02:30,0.0,-3.3,3.6,南西,7.0,南西,
2017-02-11 02:40:00,02:40,0.0,-3.3,2.9,南西,6.5,西南西,
2017-02-11 02:50:00,02:50,0.0,-3.3,3.2,南西,5.7,西南西,
2017-02-11 03:00:00,03:00,0.0,-3.2,3.5,西南西,7.5,西南西,
2017-02-11 03:10:00,03:10,0.0,-3.2,2.7,西南西,5.8,西北西,
2017-02-11 03:20:00,03:20,0.0,-3.1,3.0,西南西,5.5,西,
2017-02-11 03:30:00,03:30,0.0,-3.2,3.0,西南西,6.4,西,
2017-02-11 03:40:00,03:40,0.0,-3.3,3.6,西南西,7.6,西南西,
2017-02-11 03:50:00,03:50,0.0,-3.2,4.2,西南西,8.3,西,
2017-02-11 04:00:00,04:00,0.0,-3.3,4.0,南西,6.4,西南西,
2017-02-11 04:10:00,04:10,0.0,-3.4,4.0,南西,6.7,西,
2017-02-11 04:20:00,04:20,0.0,-3.3,3.6,西南西,7.7,南西,
2017-02-11 04:30:00,04:30,0.0,-3.2,2.9,西南西,5.9,西南西,
2017-02-11 04:40:00,04:40,0.0,-3.2,2.8,西,6.9,西,
2017-02-11 04:50:00,04:50,0.0,-3.1,3.3,西,7.5,西,
2017-02-11 05:00:00,05:00,0.0,-3.2,3.0,西南西,6.3,南西,
2017-02-11 05:10:00,05:10,0.0,-3.2,3.8,南西,7.5,南西,
2017-02-11 05:20:00,05:20,0.0,-3.2,3.9,西南西,9.0,南西,
2017-02-11 05:30:00,05:30,0.0,-3.2,4.3,西南西,10.9,西南西,
2017-02-11 05:40:00,05:40,0.0,-3.3,4.4,西南西,8.0,西,
2017-02-11 05:50:00,05:50,0.0,-3.2,4.4,南西,11.8,南西,
2017-02-11 06:00:00,06:00,0.0,-3.3,4.3,南西,8.1,南西,
2017-02-11 06:10:00,06:10,0.0,-3.4,3.9,西南西,8.5,南西,
2017-02-11 06:20:00,06:20,0.5,-3.5,4.8,西南西,8.7,南西,
2017-02-11 06:30:00,06:30,0.0,-3.6,4.3,西南西,8.2,南西,
