日時,時分,降水量 (mm),気温 (℃),相対湿度 (％),風向・風速平均風速(m/s),風向・風速平均風向,風向・風速最大瞬間風速(m/s),風向・風速最大瞬間風向,日照 時間 (min)
2017-02-12 00:10:00,00:10,0.0,-1.9,///,2.7,南南西,4.2,南南西,
2017-02-12 00:20:00,00:20,0.0,-1.8,///,2.6,南南西,4.0,南南西,
2017-02-12 00:30:00,00:30,0.0,-1.7,///,3.0,南南西,4.9,南西,
2017-02-12 00:40:00,00:40,0.0,-1.6,///,2.8,南南西,4.7,南南西,
2017-02-12 00:50:00,00:50,0.0,-1.6,///,2.4,南西,3.9,南南西,
2017-02-12 01:00:00,01:00,0.0,-1.6,///,1.6,南西,2.7,南南西,
2017-02-12 01:10:00,01:10,0.0,-1.6,///,2.1,南西,3.1,南南西,
2017-02-12 01:20:00,01:20,0.0,-1.6,///,2.5,南西,3.7,南西,
2017-02-12 01:30:00,01:30,0.0,-1.6,///,2.6,南南西,3.6,南西,
2017-02-12 01:40:00,01:40,0.0,-1.5,///,2.7,南西,4.4,南西,
2017-02-12 01:50:00,01:50,0.0,-1.5,///,2.6,南西,3.8,南西,
2017-02-12 02:00:00,02:00,0.0,-1.5,///,3.3,南西,4.7,南南西,
2017-02-12 02:10:00,02:10,0.0,-1.5,///,3.2,南西,4.7,南西,
2017-02-12 02:20:00,02:20,0.0,-1.6,///,3.3,南西,4.7,南西,
2017-02-12 02:30:00,02:30,0.0,-1.7,///,3.8,南西,5.6,南西,
2017-02-12 02:40:00,02:40,0.0,-1.9,///,3.7,南西,5.3,南南西,
2017-02-12 02:50:00,02:50,0.0,-1.9,///,3.4,南西,5.3,南南西,
2017-02-12 03:00:00,03:00,0.0,-1.8,///,3.2,南西,5.2,南西,
2017-02-12 03:10:00,03:10,0.0,-2.0,///,2.5,南西,4.3,南南西,
2017-02-12 03:20:00,03:20,0.0,-1.9,///,2.8,南西,4.8,南西,
2017-02-12 03:30:00,03:30,0.0,-1.9,///,2.5,南西,4.6,南西,
2017-02-12 03:40:00,03:40,0.0,-1.8,///,2.3,南西,3.2,南南西,
2017-02-12 03:50:00,03:50,0.0,-1.7,///,2.4,南西,5.3,西南西,
2017-02-12 04:00:00,04:00,0.0,-1.8,///,2.2,南西,3.7,南南西,
2017-02-12 04:10:00,04:10,0.0,-2.0,///,2.2,南西,3.4,南西,
2017-02-12 04:20:00,04:20,0.0,-1.9,///,2.4,南南西,4.5,南南西,
2017-02-12 04:30:00,04:30,0.0,-1.8,///,1.5,西南西,3.2,南西,
2017-02-12 04:40:00,04:40,0.0,-2.0,///,1.7,西南西,3.3,南南西,
2017-02-12 04:50:00,04:50,0.0,-1.9,///,2.0,南西,3.1,南西,
2017-02-12 05:00:00,05:00,0.0,-1.9,///,1.7,南西,3.6,南西,
2017-02-12 05:10:00,05:10,0.0,-2.0,///,1.7,南西,4.1,南西,
2017-02-12 05:20:00,05:20,0.0,-2.1,///,1.3,南西,2.5,南南西,
2017-02-12 05:30:00,05:30,0.0,-1.9,///,2.1,南西,3.5,南西,
2017-02-12 05:40:00,05:40,0.0,-1.9,///,1.4,南西,3.5,南南西,
2017-02-12 05:50:00,05:50,0.0,-1.9,///,3.0,南南西,5.4,南南西,
2017-02-12 06:00:00,06:00,0.0,-1.9,///,1.9,南西,4.3,南西,
2017-02-12 06:10:00,06:10,0.0,-1.9,///,1.9,南西,3.6,南西,
2017-02-12 06:20:00,06:20,0.0,-2.1,///,1.0,南西,3.0,南南西,
2017-02-12 06:30:00,06:30,0.0,-2.0,///,1.0,西南西,2.3,西南西,
2017-02-12 06:40:00,06:40,0.0,-2.0,///,0.8,南西,1.9,南西,
2017-02-12 06:50:00,06:50,0.0,-2.0,///,1.8,南西,4.2,南南西,
2017-02-12 07:00:00,07:00,0.0,-1.9,///,0.9,西,1.8,西,
2017-02-12 07:10:00,07:10,0.0,-2.0,///,1.1,西南西,3.9,南南西,0.0
2017-02-12 07:20:00,07:20,0.0,-1.9,///,1.2,南西,3.1,南西,0.0
2017-02-12 07:30:00,07:30,0.0,-1.7,///,1.8,南西,4.3,南南西,0.0
