日時,時刻,気温,降水量,風向,風速,日照時間
日時,時,℃,mm,16方位,m/s,h
2017-02-13 01:00:00,1,-5.6,0.0,南西,0.3,
2017-02-13 02:00:00,2,-5.9,0.0,南南西,0.4,
2017-02-13 03:00:00,3,-6.0,0.0,南東,1.1,
2017-02-13 04:00:00,4,-6.6,0.0,静穏,0.0,0.0
2017-02-13 05:00:00,5,-7.1,0.0,静穏,0.0,0.0
2017-02-13 06:00:00,6,-7.6,0.0,静穏,0.1,0.0
2017-02-13 07:00:00,7,-7.4,0.0,静穏,0.0,0.0
2017-02-13 08:00:00,8,-5.2,0.0,静穏,0.0,0.6
2017-02-13 09:00:00,9,-2.2,0.0,静穏,0.0,1.0
2017-02-13 10:00:00,10,1.0,0.0,北東,1.1,1.0
2017-02-13 11:00:00,11,5.4,0.0,南西,2.3,0.8
2017-02-13 12:00:00,12,,,,,
2017-02-13 13:00:00,13,,,,,
2017-02-13 14:00:00,14,,,,,
2017-02-13 15:00:00,15,,,,,
2017-02-13 16:00:00,16,,,,,
2017-02-13 17:00:00,17,,,,,
2017-02-13 18:00:00,18,,,,,
2017-02-13 19:00:00,19,,,,,
2017-02-13 20:00:00,20,,,,,
2017-02-13 21:00:00,21,,,,,
2017-02-13 22:00:00,22,,,,,
2017-02-13 23:00:00,23,,,,,
2017-02-14 00:00:00,24,,,,,
