日時,時,気圧(hPa)現地,気圧(hPa)海面,降水量(mm),気温(℃),露点温度(℃),蒸気圧(hPa),湿度(％),風向・風速(m/s)風速,風向・風速(m/s)風向,日照時間(h),全天日射量(MJ/㎡),雪(cm)降雪,雪(cm)積雪,天気,雲量,視程(km)
2015-08-17 01:00:00,1,881.5,,0.5,19.5,19.0,22.0,97,3.4,南東,,,×,×,×,,×
2015-08-17 02:00:00,2,881.4,,1.0,19.3,19.1,22.2,99,3.0,南南西,,,×,×,×,,×
2015-08-17 03:00:00,3,881.0,,0.5,19.4,19.1,22.1,98,3.5,南,,,×,×,×,,×
2015-08-17 04:00:00,4,880.9,,1.5,19.4,19.4,22.5,100,4.0,南,,,×,×,×,,×
2015-08-17 05:00:00,5,880.6,,2.5,19.5,19.5,22.7,100,4.2,南南西,,,×,×,×,,×
2015-08-17 06:00:00,6,880.6,,0.5,19.3,19.3,22.4,100,5.7,南西,0.0,,×,×,×,,×
2015-08-17 07:00:00,7,880.9,,×,19.3,19.3,22.4,100,4.8,南南西,0.0,,×,×,×,,×
2015-08-17 08:00:00,8,881.2,,×,19.5,19.5,22.7,100,5.6,南南西,0.0,,×,×,×,,×
2015-08-17 09:00:00,9,881.2,,0.5,19.4,19.4,22.5,100,7.2,南南西,0.0,,×,×,×,,×
2015-08-17 10:00:00,10,882.1,,1.0,19.2,19.2,22.3,100,7.6,南西,0.0,,×,×,×,,×
2015-08-17 11:00:00,11,882.2,,3.5,17.8,17.8,20.4,100,5.5,西,0.0,,×,×,×,,×
2015-08-17 12:00:00,12,882.1,,0.5,19.3,19.1,22.2,99,4.0,南西,0.0,,×,×,×,,×
2015-08-17 13:00:00,13,882.3,,×,19.6,19.1,22.1,97,3.2,南西,0.0,,×,×,×,,×
2015-08-17 14:00:00,14,882.4,,×,20.2,18.9,21.8,92,2.7,西南西,0.0,,×,×,×,,×
2015-08-17 15:00:00,15,882.3,,1.0,20.1,19.5,22.6,96,1.4,西南西,0.0,,×,×,×,,×
2015-08-17 16:00:00,16,882.6,,1.0,19.5,19.4,22.4,99,2.5,西南西,0.0,,×,×,×,,×
2015-08-17 17:00:00,17,882.8,,×,19.5,19.5,22.7,100,2.0,西北西,0.0,,×,×,×,,×
2015-08-17 18:00:00,18,883.1,,×,19.2,19.2,22.3,100,0.9,北西,0.0,,×,×,×,,×
2015-08-17 19:00:00,19,883.5,,×,19.2,18.9,21.8,98,1.3,北北西,0.0,,×,×,×,,×
2015-08-17 20:00:00,20,884.1,,×,18.7,18.2,20.9,97,0.9,北北東,,,×,×,×,,×
2015-08-17 21:00:00,21,884.7,,×,18.2,18.2,20.9,100,2.8,北,,,×,×,×,,×
2015-08-17 22:00:00,22,885.0,,×,18.1,18.1,20.8,100,3.7,北北東,,,×,×,×,,×
2015-08-17 23:00:00,23,884.9,,×,17.8,17.8,20.4,100,2.1,北,,,×,×,×,,×
2015-08-18 00:00:00,24,885.0,,×,18.0,17.8,20.4,99,1.3,南東,,,×,×,×,,×
