日時,時分,気圧(hPa)現地,気圧(hPa)海面,降水量(mm),気温(℃),相対湿度(％),風向・風速(m/s)平均,風向・風速(m/s)風向,風向・風速(m/s)最大瞬間,風向・風速(m/s)風向,日照時間(分)
2017-02-11 00:10:00,00:10,881.5,,×,-8.1,91,2.5,西北西,4.8,西北西,
2017-02-11 00:20:00,00:20,881.3,,×,-8.0,91,3.4,西北西,8.1,西,
2017-02-11 00:30:00,00:30,881.3,,×,-8.0,91,3.0,西北西,5.8,西,
2017-02-11 00:40:00,00:40,881.4,,×,-8.0,91,2.2,西,3.5,西,
2017-02-11 00:50:00,00:50,881.7,,×,-7.9,92,3.3,西,5.7,西北西,
2017-02-11 01:00:00,01:00,881.5,,×,-7.9,92,2.5,西,5.2,西南西,
2017-02-11 01:10:00,01:10,881.7,,×,-7.8,92,2.8,西,4.6,西南西,
2017-02-11 01:20:00,01:20,881.8,,×,-7.8,92,2.2,西,4.6,西,
2017-02-11 01:30:00,01:30,881.6,,×,-7.8,92,2.6,西北西,5.4,西,
2017-02-11 01:40:00,01:40,881.5,,×,-7.8,92,3.2,西,5.9,西北西,
2017-02-11 01:50:00,01:50,881.5,,×,-7.7,92,3.3,西,5.7,西,
2017-02-11 02:00:00,02:00,881.7,,×,-7.6,92,3.8,西南西,8.6,南西,
2017-02-11 02:10:00,02:10,881.6,,0.5,-7.6,92,3.7,西,6.6,西,
2017-02-11 02:20:00,02:20,881.6,,×,-7.6,92,4.3,西,9.2,西,
2017-02-11 02:30:00,02:30,881.7,,×,-7.6,92,4.8,西北西,7.7,西,
2017-02-11 02:40:00,02:40,881.7,,×,-7.8,91,5.3,西,9.0,西北西,
2017-02-11 02:50:00,02:50,881.7,,×,-7.8,91,5.4,西北西,9.2,西北西,
2017-02-11 03:00:00,03:00,881.5,,×,-7.9,92,6.7,西北西,10.3,西北西,
2017-02-11 03:10:00,03:10,881.5,,×,-8.0,91,6.4,西北西,10.4,西,
2017-02-11 03:20:00,03:20,881.3,,×,-8.0,91,5.3,西北西,9.9,西北西,
2017-02-11 03:30:00,03:30,881.3,,×,-8.1,91,5.9,西北西,10.0,西北西,
2017-02-11 03:40:00,03:40,881.4,,×,-8.0,91,6.3,西北西,10.3,西北西,
2017-02-11 03:50:00,03:50,881.4,,×,-8.1,91,6.3,西,10.0,西,
2017-02-11 04:00:00,04:00,881.3,,×,-8.1,91,5.8,西,10.2,西南西,
2017-02-11 04:10:00,04:10,881.3,,×,-8.1,91,6.4,西北西,9.7,北西,
2017-02-11 04:20:00,04:20,881.3,,×,-8.2,91,6.5,西北西,10.6,西北西,
2017-02-11 04:30:00,04:30,881.2,,×,-8.3,91,6.3,西北西,10.7,西北西,
2017-02-11 04:40:00,04:40,881.1,,×,-8.2,91,5.3,西北西,8.7,西,
2017-02-11 04:50:00,04:50,881.1,,×,-8.2,91,6.2,西北西,9.9,西,
2017-02-11 05:00:00,05:00,881.3,,×,-8.2,91,6.2,西北西,10.2,西北西,
2017-02-11 05:10:00,05:10,881.3,,×,-8.2,91,6.5,西,12.4,西,
2017-02-11 05:20:00,05:20,881.3,,×,-8.2,91,7.2,西,12.1,西北西,
2017-02-11 05:30:00,05:30,881.3,,×,-8.2,91,5.9,西北西,9.5,西北西,
2017-02-11 05:40:00,05:40,881.3,,×,-8.2,91,6.4,西北西,10.5,西,
2017-02-11 05:50:00,05:50,881.5,,×,-8.2,91,6.3,西,11.4,西,
2017-02-11 06:00:00,06:00,881.4,,×,-8.2,91,6.3,西,11.0,西,
2017-02-11 06:10:00,06:10,881.3,,×,-8.2,91,6.9,西,12.4,西,
2017-02-11 06:20:00,06:20,881.2,,0.5,-8.2,91,6.8,西,11.7,西南西,
2017-02-11 06:30:00,06:30,881.4,,×,-8.1,91,7.1,西北西,12.0,西北西,
2017-02-11 06:40:00,06:40,881.6,,0.5,-8.1,91,5.6,西北西,9.2,西,
2017-02-11 06:50:00,06:50,881.6,,×,-8.2,91,8.6,西北西,13.6,西北西,
2017-02-11 07:00:00,07:00,881.9,,×,-8.3,91,7.0,西北西,11.3,西北西,
2017-02-11 07:10:00,07:10,882.0,,×,-8.4,91,7.7,西北西,12.2,西,0
2017-02-11 07:20:00,07:20,882.1,,×,-8.5,91,7.3,西北西,12.3,西北西,0
2017-02-11 07:30:00,07:30,882.3,,×,-8.4,91,5.8,西北西,12.3,北西,0
2017-02-11 07:40:00,07:40,882.5,,×,-8.4,91,6.6,西北西,10.5,西北西,0
2017-02-11 07:50:00,07:50,882.6,,×,-8.5,91,6.8,西北西,11.2,西北西,0
2017-02-11 08:00:00,08:00,882.8,,×,-8.5,91,4.7,西北西,8.4,西,0
2017-02-11 08:10:00,08:10,882.9,,×,-8.6,91,7.2,西北西,12.7,西北西,0
2017-02-11 08:20:00,08:20,882.8,,×,-8.5,91,7.3,西北西,11.3,西北西,0
2017-02-11 08:30:00,08:30,883.0,,×,-8.5,91,6.4,西北西,11.1,西,0
2017-02-11 08:40:00,08:40,883.2,,×,-8.5,91,7.9,西北西,13.4,西,0
2017-02-11 08:50:00,08:50,883.3,,×,-8.4,91,6.0,西北西,10.2,西北西,0
2017-02-11 09:00:00,09:00,883.4,,×,-8.4,91,6.3,西北西,11.2,西北西,0
2017-02-11 09:10:00,09:10,883.6,,×,-8.4,91,6.2,西北西,9.6,北西,0
2017-02-11 09:20:00,09:20,883.5,,×,-8.3,91,6.2,西北西,10.0,北西,0
2017-02-11 09:30:00,09:30,883.5,,×,-8.3,91,6.4,西北西,10.1,西北西,0
2017-02-11 09:40:00,09:40,883.6,,×,-8.2,91,6.2,西北西,11.0,西北西,0
2017-02-11 09:50:00,09:50,883.6,,×,-8.1,91,5.7,西北西,10.0,西北西,0
2017-02-11 10:00:00,10:00,883.7,,×,-7.9,92,5.9,西北西,9.2,西北西,0
2017-02-11 10:10:00,10:10,883.9,,×,-7.9,91,5.8,西北西,9.4,西北西,0
2017-02-11 10:20:00,10:20,884.1,,×,-7.9,91,4.7,西北西,8.7,西北西,0
2017-02-11 10:30:00,10:30,884.2,,×,-7.9,91,5.5,西北西,8.7,西北西,0
2017-02-11 10:40:00,10:40,884.3,,×,-7.7,91,6.2,西北西,10.2,西北西,0
2017-02-11 10:50:00,10:50,884.4,,×,-7.6,91,5.6,西北西,9.6,西北西,0
2017-02-11 11:00:00,11:00,884.5,,×,-7.4,92,5.1,西北西,8.1,西北西,0
2017-02-11 11:10:00,11:10,884.6,,×,-7.5,92,6.3,西北西,9.9,北西,0
2017-02-11 11:20:00,11:20,884.7,,×,-7.3,92,5.3,西北西,8.7,西北西,0
2017-02-11 11:30:00,11:30,884.7,,×,-7.2,92,5.8,北西,9.0,北西,0
2017-02-11 11:40:00,11:40,884.7,,×,-7.2,92,5.2,北西,8.1,北西,0
2017-02-11 11:50:00,11:50,884.8,,×,-7.0,92,5.2,西北西,7.9,西北西,0
2017-02-11 12:00:00,12:00,884.9,,×,-7.0,92,5.0,西北西,7.5,西北西,0
2017-02-11 12:10:00,12:10,885.0,,×,-7.1,92,5.8,西北西,9.9,西北西,0
2017-02-11 12:20:00,12:20,884.9,,×,-7.1,92,6.5,西北西,10.0,西北西,0
2017-02-11 12:30:00,12:30,884.8,,×,-7.0,92,5.1,西北西,8.7,西北西,0
2017-02-11 12:40:00,12:40,884.7,,×,-7.0,92,5.5,西北西,9.1,西,0
2017-02-11 12:50:00,12:50,884.8,,×,-7.1,92,6.7,西北西,10.8,西北西,0
2017-02-11 13:00:00,13:00,884.7,,×,-6.6,92,5.4,西北西,8.2,西北西,1
2017-02-11 13:10:00,13:10,884.6,,×,-6.9,91,4.9,西,8.6,西南西,0
2017-02-11 13:20:00,13:20,884.6,,×,-6.6,92,5.3,西北西,8.0,西南西,0
2017-02-11 13:30:00,13:30,884.5,,×,-6.4,92,5.5,西北西,9.8,西北西,0
2017-02-11 13:40:00,13:40,884.6,,×,-6.3,92,5.9,西北西,9.7,西,0
2017-02-11 13:50:00,13:50,884.6,,×,-6.3,92,6.2,西北西,9.4,西北西,5
2017-02-11 14:00:00,14:00,884.7,,×,-5.8,92,5.2,西,10.0,西,4
2017-02-11 14:10:00,14:10,884.6,,×,-6.1,91,5.7,西,8.7,西北西,2
2017-02-11 14:20:00,14:20,884.7,,×,-6.5,92,5.2,西北西,8.3,西北西,0
2017-02-11 14:30:00,14:30,884.8,,×,-6.1,94,5.1,北西,9.0,北西,1
2017-02-11 14:40:00,14:40,884.9,,×,-6.3,91,5.9,西北西,9.6,西北西,8
2017-02-11 14:50:00,14:50,884.9,,×,-6.4,92,6.5,西北西,9.4,西北西,4
2017-02-11 15:00:00,15:00,884.9,,×,-6.1,93,4.8,西北西,9.7,西北西,3
2017-02-11 15:10:00,15:10,885.0,,×,-6.1,92,5.8,西北西,9.3,西北西,2
2017-02-11 15:20:00,15:20,885.0,,×,-6.0,92,5.1,西北西,8.3,西北西,1
2017-02-11 15:30:00,15:30,884.9,,×,-6.2,93,4.7,西北西,7.4,西北西,0
2017-02-11 15:40:00,15:40,885.0,,×,-6.5,91,5.7,西北西,9.1,西北西,0
2017-02-11 15:50:00,15:50,885.0,,×,-6.7,92,6.5,西北西,9.4,西北西,0
2017-02-11 16:00:00,16:00,885.0,,×,-6.5,93,6.3,西北西,8.8,西北西,0
2017-02-11 16:10:00,16:10,885.1,,×,-6.0,93,4.9,北西,7.1,西北西,2
2017-02-11 16:20:00,16:20,885.1,,×,-6.0,92,5.8,西北西,9.3,北西,1
2017-02-11 16:30:00,16:30,885.2,,×,-6.0,93,4.5,西北西,8.5,北西,0
2017-02-11 16:40:00,16:40,885.3,,×,-6.2,92,3.8,北西,6.1,西北西,0
2017-02-11 16:50:00,16:50,885.4,,×,-6.2,93,3.6,北西,6.5,北西,0
2017-02-11 17:00:00,17:00,885.5,,×,-6.1,93,4.2,西北西,7.6,西北西,0
2017-02-11 17:10:00,17:10,885.5,,×,-6.3,93,4.8,西北西,8.3,北西,0
2017-02-11 17:20:00,17:20,885.6,,×,-6.4,93,3.5,西北西,6.0,西北西,0
2017-02-11 17:30:00,17:30,885.6,,×,-6.4,93,3.8,西北西,7.1,西北西,0
2017-02-11 17:40:00,17:40,885.7,,×,-6.2,93,4.1,西北西,7.8,西北西,0
2017-02-11 17:50:00,17:50,885.8,,×,-6.3,93,4.8,西北西,8.6,西北西,0
2017-02-11 18:00:00,18:00,885.9,,×,-6.3,93,5.0,西,7.9,西北西,0
2017-02-11 18:10:00,18:10,885.9,,×,-6.5,92,5.4,西,8.0,西北西,
2017-02-11 18:20:00,18:20,886.1,,×,-6.5,93,4.9,西,8.3,西,
2017-02-11 18:30:00,18:30,886.2,,×,-6.5,93,4.7,西,7.1,西,
2017-02-11 18:40:00,18:40,886.3,,×,-6.5,93,5.7,西,10.0,西,
2017-02-11 18:50:00,18:50,886.4,,×,-6.5,93,5.5,西,9.0,西,
2017-02-11 19:00:00,19:00,886.6,,×,-6.6,93,5.7,西,8.7,西,
2017-02-11 19:10:00,19:10,886.6,,×,-6.7,93,5.4,西北西,8.7,西北西,
2017-02-11 19:20:00,19:20,886.7,,×,-6.6,93,5.5,西北西,7.9,西北西,
2017-02-11 19:30:00,19:30,886.8,,×,-6.7,92,5.4,西北西,9.3,西,
2017-02-11 19:40:00,19:40,886.8,,×,-6.9,92,5.5,西北西,7.7,西北西,
2017-02-11 19:50:00,19:50,886.9,,×,-7.2,92,4.9,西北西,7.9,西北西,
2017-02-11 20:00:00,20:00,887.0,,×,-7.6,92,3.3,西北西,5.5,西,
2017-02-11 20:10:00,20:10,887.0,,×,-7.8,91,3.8,西北西,5.8,西北西,
2017-02-11 20:20:00,20:20,886.9,,×,-8.0,91,3.4,北西,7.2,西,
2017-02-11 20:30:00,20:30,886.9,,×,-7.8,92,3.3,北西,7.0,西北西,
2017-02-11 20:40:00,20:40,887.0,,×,-7.7,92,3.7,西北西,6.1,北西,
2017-02-11 20:50:00,20:50,887.0,,×,-7.5,92,3.2,北西,6.3,西北西,
2017-02-11 21:00:00,21:00,887.2,,×,-7.5,92,3.2,北西,5.6,西北西,
2017-02-11 21:10:00,21:10,887.2,,×,-7.1,93,3.2,北西,6.1,北北西,
2017-02-11 21:20:00,21:20,887.2,,×,-6.9,93,3.4,北西,5.4,北西,
2017-02-11 21:30:00,21:30,887.2,,×,-6.7,93,3.3,北西,6.0,北西,
2017-02-11 21:40:00,21:40,887.3,,×,-6.5,93,3.7,西北西,6.3,西北西,
2017-02-11 21:50:00,21:50,887.3,,×,-6.5,93,4.1,西北西,6.6,西北西,
2017-02-11 22:00:00,22:00,887.4,,×,-6.4,93,4.1,西北西,7.5,西北西,
2017-02-11 22:10:00,22:10,887.5,,×,-6.4,93,3.4,北西,5.7,西北西,
2017-02-11 22:20:00,22:20,887.5,,×,-6.3,93,3.4,西北西,5.9,西北西,
2017-02-11 22:30:00,22:30,887.5,,×,-6.3,93,3.5,西北西,5.9,北西,
2017-02-11 22:40:00,22:40,887.5,,×,-6.2,93,4.1,西北西,6.7,西北西,
2017-02-11 22:50:00,22:50,887.5,,×,-6.1,93,3.7,西北西,6.5,西北西,
2017-02-11 23:00:00,23:00,887.5,,×,-6.1,93,4.1,西北西,6.6,西北西,
2017-02-11 23:10:00,23:10,887.6,,×,-6.1,93,4.0,西北西,6.9,西北西,
2017-02-11 23:20:00,23:20,887.6,,×,-6.0,93,4.8,西北西,7.2,西,
2017-02-11 23:30:00,23:30,887.6,,×,-6.0,93,4.4,西北西,7.1,西北西,
2017-02-11 23:40:00,23:40,887.6,,×,-6.0,93,3.4,北西,6.3,西北西,
2017-02-11 23:50:00,23:50,887.6,,×,-6.1,93,3.7,北西,5.8,西,
2017-02-12 00:00:00,24:00,887.6,,×,-6.1,93,3.2,北西,5.4,北西,
