日時,時刻,気温,降水量,風向,風速,日照時間,湿度,気圧
日時,時,℃,mm,16方位,m/s,h,%,hPa
2017-02-13 01:00:00,1,-7.3,0.0,北東,1.7,,81,891.6
2017-02-13 02:00:00,2,-7.9,0.0,北北東,1.8,,74,891.8
2017-02-13 03:00:00,3,-7.7,0.0,北北西,2.3,,83,891.8
2017-02-13 04:00:00,4,-8.0,0.0,北北西,1.3,0.0,86,891.6
2017-02-13 05:00:00,5,-6.8,0.0,北北西,3.8,0.0,81,891.9
2017-02-13 06:00:00,6,-5.9,0.0,北北西,5.8,0.0,76,892.2
2017-02-13 07:00:00,7,-5.3,0.0,北西,6.7,0.0,74,892.7
2017-02-13 08:00:00,8,-4.6,0.0,北西,6.7,0.4,72,893.2
2017-02-13 09:00:00,9,-3.6,0.0,北西,5.8,1.0,72,893.6
2017-02-13 10:00:00,10,-2.4,0.0,北西,4.2,0.9,69,893.8
2017-02-13 11:00:00,11,-1.6,0.0,西北西,3.8,0.6,69,894.0
2017-02-13 12:00:00,12,,,,,,,
2017-02-13 13:00:00,13,,,,,,,
2017-02-13 14:00:00,14,,,,,,,
2017-02-13 15:00:00,15,,,,,,,
2017-02-13 16:00:00,16,,,,,,,
2017-02-13 17:00:00,17,,,,,,,
2017-02-13 18:00:00,18,,,,,,,
2017-02-13 19:00:00,19,,,,,,,
2017-02-13 20:00:00,20,,,,,,,
2017-02-13 21:00:00,21,,,,,,,
2017-02-13 22:00:00,22,,,,,,,
2017-02-13 23:00:00,23,,,,,,,
2017-02-14 00:00:00,24,,,,,,,
