時,気圧(hPa)現地,気圧(hPa)海面,降水量(mm),気温(℃),露点温度(℃),蒸気圧(hPa),湿度(％),風向・風速(m/s)風速,風向・風速(m/s)風向,日照時間(h),全天日射量(MJ/㎡),雪(cm)降雪,雪(cm)積雪,天気,雲量,視程(km)
1,1001.3,1006.0,0.0,11.8,7.5,10.4,75,6.9,西北西,,,--,--,,,
2,1001.9,1006.6,0.5,10.8,5.8,9.2,71,8.0,西北西,,,--,--,,,
3,1003.4,1008.1,--,10.0,2.8,7.5,61,4.4,西北西,,,--,--,F8A0,5,15.0
4,1004.2,1009.0,--,9.4,2.5,7.3,62,2.7,北西,,,--,--,,,
5,1005.0,1009.8,0.0,8.8,0.5,6.3,56,4.6,北西,,,--,--,,,
6,1005.7,1010.5,--,8.4,0.4,6.3,57,1.2,北西,,,--,--,F8A2,9,15.0
7,1006.7,1011.5,0.0,8.6,0.6,6.4,57,1.9,西北西,,0.00,--,--,,,
8,1007.4,1012.2,0.0,8.5,1.0,6.5,59,1.7,西,0.0,0.01,--,--,,,
9,1008.1,1012.9,0.0,8.8,1.2,6.7,59,3.6,西,0.0,0.18,--,--,F8A2,10-,15.0
10,1008.8,1013.6,--,9.4,1.3,6.7,57,3.2,西,0.0,0.48,--,--,,,
11,1008.8,1013.6,--,10.1,1.5,6.8,55,2.5,西北西,0.1,0.74,--,--,,,
12,1008.2,1013.0,--,10.6,0.9,6.5,51,2.8,西北西,0.4,1.26,--,--,F8A0,7,15.0
13,1007.5,1012.3,--,10.7,0.2,6.2,48,2.7,北西,0.2,1.05,--,--,,,
14,1006.9,1011.6,--,11.2,-0.3,6.0,45,4.9,北西,0.7,1.55,--,--,,,
15,1006.9,1011.6,--,10.9,-0.2,6.0,46,4.8,北西,1.0,1.45,--,--,F8A0,2,20.0
16,1007.0,1011.8,--,10.5,0.5,6.3,50,3.5,北北西,1.0,0.82,--,--,,,
17,1007.8,1012.6,--,9.9,1.0,6.6,54,2.8,北西,0.6,0.29,--,--,,,
18,1008.3,1013.1,--,9.2,1.4,6.7,58,2.8,北西,0.0,0.01,--,--,F8A0,4,15.0
19,1008.8,1013.6,--,8.3,1.5,6.8,62,2.5,北西,,,--,--,,,
20,1009.1,1013.9,--,7.7,1.1,6.6,63,1.9,北北西,,,--,--,,,
21,1009.3,1014.1,--,6.5,1.4,6.8,70,1.3,北北西,,,--,--,F8A2,9,15.0
22,1009.4,1014.2,--,6.9,2.4,7.3,73,1.3,東,,,--,--,,,
23,1009.6,1014.4,--,6.7,2.8,7.5,76,1.7,西南西,,,--,--,,,
24,1009.3,1014.1,--,7.1,2.8,7.5,74,1.5,西,,,--,--,,,
