時,気圧(hPa)現地,気圧(hPa)海面,降水量(mm),気温(℃),露点温度(℃),蒸気圧(hPa),湿度(％),風向・風速(m/s)風速,風向・風速(m/s)風向,日照時間(h),全天日射量(MJ/㎡),雪(cm)降雪,雪(cm)積雪,天気,雲量,視程(km)
1,1021.7,1022.7,0.0,14.4,13.5,15.4,94,1.7,南南東,,,,,,,
2,1021.6,1022.6,0.0,14.3,13.4,15.3,94,1.8,南南東,,,,,,,
3,1021.6,1022.6,--,14.1,13.0,15.0,93,2.0,南南東,,,,,F8A2,10-,10.0
4,1021.5,1022.5,0.0,14.2,13.1,15.1,93,1.8,南南東,,,,,,,
5,1021.4,1022.4,--,14.2,13.3,15.2,94,2.1,南南東,,,,,,,
6,1021.6,1022.6,--,14.3,13.2,15.2,93,1.8,南南東,,,,,F8A2,10,15.0
7,1022.1,1023.1,--,14.3,13.2,15.2,93,1.4,南南東,0.0,0.00,,,,,
8,1022.7,1023.7,--,14.9,13.6,15.6,92,2.0,南南東,0.0,0.06,,,,,
9,1022.8,1023.8,--,15.8,13.8,15.8,88,1.3,南南東,0.0,0.27,--,--,F8A2,10,15.0
10,1022.9,1023.9,--,17.7,14.4,16.4,81,0.9,南,0.0,0.71,,,,,
11,1022.2,1023.2,--,19.7,11.5,13.5,59,0.9,北北西,0.3,1.22,,,,,
12,1021.2,1022.2,--,21.5,10.4,12.6,49,1.6,北,0.7,2.07,,,F8A0,7,25.0
13,1020.5,1021.5,--,21.3,10.2,12.4,49,2.5,北東,0.4,1.71,,,,,
14,1019.7,1020.7,--,20.9,11.0,13.1,53,1.1,東北東,0.5,1.63,,,,,
15,1019.9,1020.9,--,20.4,10.0,12.2,51,2.3,北北東,0.0,0.75,--,--,F8A2,10-,25.0
16,1019.6,1020.6,--,19.9,9.5,11.9,51,1.6,北,0.0,0.49,,,,,
17,1019.7,1020.7,--,18.8,11.6,13.7,63,1.0,南南東,0.0,0.15,,,,,
18,1019.9,1020.9,0.0,17.5,12.6,14.6,73,1.1,南南東,0.0,0.00,,,F8A8,10,20.0
19,1020.6,1021.6,0.0,16.9,12.9,14.8,77,1.5,南南東,,,,,,,
20,1021.2,1022.2,0.0,16.6,13.7,15.7,83,1.6,南南東,,,,,,,
21,1021.5,1022.5,0.0,16.3,14.3,16.3,88,1.6,南,,,--,--,F8A8,10,20.0
22,1021.4,1022.4,0.5,16.0,14.5,16.5,91,1.4,南,,,,,,,
23,1021.0,1022.0,0.0,15.6,14.0,16.0,90,1.9,南南東,,,,,,,
24,1020.4,1021.4,0.0,15.8,13.5,15.4,86,1.4,南南東,,,,,,,
